Date,Product,Category,Region,Quantity,Unit_Price,Discount,Revenue,Cost,Customer_Rating
2026-01-01,Mouse,Accessories,East,4.0,3500.0,0.05,13300.0,7700.000000000001,3.8
2026-01-02,Headphones,Audio,North,10.0,9000.0,0.1,81000.0,54000.0,4.4
2026-01-03,Keyboard,Accessories,North,7.0,6500.0,0.15,38675.0,25025.000000000004,3.0
2026-01-04,Headphones,Audio,North,9.0,9000.0,0.15,68850.0,48600.0,4.1
2026-01-05,Headphones,Audio,East,7.0,9000.0,0.15,53550.0,37800.0,2.7
2026-01-06,Monitor,Computers,North,1.0,45000.0,0.1,40500.0,30600.000000000004,2.6
2026-01-07,Keyboard,Accessories,West,1.0,6500.0,0.0,6500.0,3575.0000000000005,3.8
2026-01-08,Keyboard,Accessories,North,9.0,6500.0,0.0,58500.0,32175.000000000004,3.9
2026-01-09,Keyboard,Accessories,West,9.0,6500.0,0.15,49725.0,32175.000000000004,4.1
2026-01-10,Headphones,Audio,West,4.0,9000.0,0.1,32400.0,21600.0,4.3
2026-01-11,Mouse,Accessories,West,9.0,3500.0,0.0,31500.0,17325.0,4.9
2026-01-12,Keyboard,Accessories,East,3.0,6500.0,0.0,19500.0,10725.0,3.8
2026-01-13,Webcam,Accessories,East,7.0,7500.0,0.1,47250.0,28875.000000000004,3.3
2026-01-14,Headphones,Audio,East,6.0,9000.0,0.0,54000.0,32400.0,4.5
2026-01-15,Monitor,Computers,North,8.0,45000.0,0.0,360000.0,244800.00000000003,3.2
2026-01-16,Mouse,Accessories,West,9.0,3500.0,0.1,28350.0,17325.0,3.6
2026-01-17,Webcam,Accessories,East,5.0,7500.0,0.1,33750.0,20625.0,2.7
2026-01-18,Webcam,Accessories,East,,7500.0,0.1,6750.0,4125.0,2.6
2026-01-19,Monitor,Computers,North,3.0,45000.0,0.0,135000.0,91800.0,4.9
2026-01-20,Mouse,Accessories,East,10.0,3500.0,0.1,31500.0,19250.0,4.6
2026-01-21,Headphones,Audio,North,8.0,9000.0,0.0,72000.0,43200.0,4.2
2026-01-22,Laptop,Computers,South,6.0,120000.0,0.05,684000.0,518400.0,3.5
2026-01-23,Mouse,Accessories,East,8.0,3500.0,0.1,25200.0,15400.000000000002,2.9
2026-01-24,Monitor,Computers,South,9.0,45000.0,0.1,364500.0,275400.0,2.9
2026-01-25,Webcam,Accessories,North,4.0,7500.0,0.15,25500.0,16500.0,3.1
2026-01-26,Headphones,Audio,West,1.0,9000.0,0.1,8100.0,5400.0,3.9
2026-01-27,Mouse,Accessories,East,1.0,3500.0,0.1,3150.0,1925.0000000000002,4.3
2026-01-28,Laptop,Computers,North,10.0,120000.0,0.0,1200000.0,864000.0,4.2
2026-01-29,Laptop,Computers,West,4.0,120000.0,0.05,456000.0,345600.0,3.2
2026-01-30,Keyboard,Accessories,West,7.0,6500.0,0.05,43225.0,25025.000000000004,4.9
2026-01-31,Keyboard,Accessories,South,2.0,6500.0,0.0,13000.0,7150.000000000001,4.3
2026-02-01,Monitor,Computers,North,3.0,45000.0,0.2,108000.0,91800.0,
2026-02-02,Mouse,Accessories,West,1.0,3500.0,0.05,3325.0,1925.0000000000002,4.0
2026-02-03,Mouse,Accessories,East,5.0,3500.0,0.15,14875.0,9625.0,3.5
2026-02-04,Webcam,Accessories,East,1.0,7500.0,0.1,6750.0,4125.0,3.1
2026-02-05,Webcam,Accessories,South,8.0,7500.0,0.15,51000.0,33000.0,3.4
2026-02-06,Webcam,Accessories,West,1.0,7500.0,0.1,6750.0,4125.0,4.4
2026-02-07,Keyboard,Accessories,North,1.0,6500.0,0.1,5850.0,3575.0000000000005,2.5
2026-02-08,Mouse,Accessories,East,2.0,3500.0,0.05,6650.0,3850.0000000000005,2.8
2026-02-09,Mouse,Accessories,West,2.0,3500.0,0.0,7000.0,3850.0000000000005,2.6
2026-02-10,Laptop,Computers,West,6.0,120000.0,0.1,648000.0,518400.0,2.6
2026-02-11,Keyboard,Accessories,South,7.0,6500.0,0.05,43225.0,25025.000000000004,4.6
2026-02-12,Headphones,Audio,East,5.0,9000.0,0.0,45000.0,27000.0,4.3
2026-02-13,Keyboard,Accessories,East,1.0,6500.0,0.1,5850.0,3575.0000000000005,3.7
2026-02-14,Headphones,Audio,North,1.0,9000.0,0.0,9000.0,5400.0,2.7
2026-02-15,Laptop,Computers,East,3.0,120000.0,0.2,288000.0,259200.0,3.7
2026-02-16,Monitor,Computers,North,2.0,45000.0,0.2,72000.0,61200.00000000001,3.7
2026-02-17,Mouse,Accessories,East,5.0,3500.0,0.2,14000.0,9625.0,2.9
2026-02-18,Laptop,Computers,South,10.0,120000.0,0.05,1140000.0,864000.0,3.6
2026-02-19,Mouse,Accessories,East,6.0,3500.0,0.0,21000.0,11550.000000000002,3.5
2026-02-20,Webcam,Accessories,North,7.0,7500.0,0.2,42000.0,28875.000000000004,4.0
2026-02-21,Monitor,Computers,North,4.0,45000.0,0.05,171000.0,122400.00000000001,4.1
2026-02-22,Monitor,Computers,South,7.0,45000.0,0.2,252000.0,214200.00000000003,2.6
2026-02-23,Laptop,Computers,East,8.0,120000.0,0.2,768000.0,691200.0,3.4
